question,ground_truth,difficulty,raw_response,model_answer,confidence,model,temperature
What is the capital of France?,Paris,easy,"Answer: Paris
Confidence: 100%",Paris,100.0,qwen/qwen3.6-plus:free,0.2
How many days are there in a week?,7,easy,"Answer: 7
Confidence: 100%",7,100.0,qwen/qwen3.6-plus:free,0.2
Which planet is known as the Red Planet?,Mars,easy,"Answer: Mars
Confidence: 100%",Mars,100.0,qwen/qwen3.6-plus:free,0.2
What gas do plants primarily absorb from the atmosphere for photosynthesis?,Carbon dioxide,easy,"Answer: Carbon dioxide
Confidence: 100%",Carbon dioxide,100.0,qwen/qwen3.6-plus:free,0.2
Who wrote 'Romeo and Juliet'?,William Shakespeare,easy,"Answer: William Shakespeare
Confidence: 100%",William Shakespeare,100.0,qwen/qwen3.6-plus:free,0.2
What is the largest ocean on Earth?,Pacific Ocean,easy,"Answer: The Pacific Ocean
Confidence: 100%",The Pacific Ocean,100.0,qwen/qwen3.6-plus:free,0.2
What is H2O commonly called?,Water,easy,"Answer: Water
Confidence: 100%",Water,100.0,qwen/qwen3.6-plus:free,0.2
Which continent is Egypt in?,Africa,easy,"Answer: Africa
Confidence: 100%",Africa,100.0,qwen/qwen3.6-plus:free,0.2
What is 9 x 9?,81,easy,"Answer: 81
Confidence: 100%",81,100.0,qwen/qwen3.6-plus:free,0.2
"What instrument has keys, pedals, and strings and is often found in concert halls?",Piano,easy,"Answer: Piano
Confidence: 100%",Piano,100.0,qwen/qwen3.6-plus:free,0.2
How many bones are in the adult human body?,206,medium,"Answer: 206
Confidence: 100%",206,100.0,qwen/qwen3.6-plus:free,0.2
In which year did the Berlin Wall fall?,1989,medium,"Answer: 1989
Confidence: 100%",1989,100.0,qwen/qwen3.6-plus:free,0.2
What is the chemical symbol for gold?,Au,medium,"Answer: Au
Confidence: 100%",Au,100.0,qwen/qwen3.6-plus:free,0.2
Who proposed the laws of motion and universal gravitation?,Isaac Newton,medium,"Answer: Sir Isaac Newton
Confidence: 100%",Sir Isaac Newton,100.0,qwen/qwen3.6-plus:free,0.2
What is the smallest prime number?,2,medium,"Answer: 2
Confidence: 100%",2,100.0,qwen/qwen3.6-plus:free,0.2
Which blood type is known as the universal donor for red blood cells?,O negative,medium,"Answer: O negative (O-)
Confidence: 100%",O negative (O-),100.0,qwen/qwen3.6-plus:free,0.2
What does HTTP stand for?,Hypertext Transfer Protocol,medium,"Answer: Hypertext Transfer Protocol
Confidence: 100%",Hypertext Transfer Protocol,100.0,qwen/qwen3.6-plus:free,0.2
Which scientist is associated with natural selection?,Charles Darwin,medium,"Answer: Charles Darwin
Confidence: 100%",Charles Darwin,100.0,qwen/qwen3.6-plus:free,0.2
What is the capital of Canada?,Ottawa,medium,"Answer: Ottawa
Confidence: 100%",Ottawa,100.0,qwen/qwen3.6-plus:free,0.2
How many players are on a soccer team on the field at one time?,11,medium,"Answer: 11
Confidence: 100%",11,100.0,qwen/qwen3.6-plus:free,0.2
Which lobe of the brain is most associated with vision?,Occipital lobe,medium,"Answer: Occipital lobe
Confidence: 100%",Occipital lobe,100.0,qwen/qwen3.6-plus:free,0.2
"In machine learning, what does overfitting mean?",Learning training data too specifically and generalizing poorly,medium,"Answer: Overfitting occurs when a machine learning model learns the training data too closely, capturing both the true underlying patterns and the noise or random fluctuations. As a result, the model achieves very high accuracy on the training data but performs poorly on new, unseen data because it fails to generalize.
Confidence: 100%","Overfitting occurs when a machine learning model learns the training data too closely, capturing both the true underlying patterns and the noise or random fluctuations. As a result, the model achieves very high accuracy on the training data but performs poorly on new, unseen data because it fails to generalize.",100.0,qwen/qwen3.6-plus:free,0.2
What is the SI unit of electric current?,Ampere,medium,"Answer: The ampere
Confidence: 100%",The ampere,100.0,qwen/qwen3.6-plus:free,0.2
What does GPU stand for?,Graphics Processing Unit,medium,"Answer: Graphics Processing Unit
Confidence: 100%",Graphics Processing Unit,100.0,qwen/qwen3.6-plus:free,0.2
Which country hosted the 2016 Summer Olympics?,Brazil,medium,"Answer: Brazil
Confidence: 100%",Brazil,100.0,qwen/qwen3.6-plus:free,0.2
In what year was the Rescorla-Wagner model published?,1972,hard,"Answer: 1972
Confidence: 100%",1972,100.0,qwen/qwen3.6-plus:free,0.2
Who introduced the concept of prediction error minimization in the Free Energy Principle framework?,Karl Friston,hard,"Answer: Karl Friston
Confidence: 95%",Karl Friston,95.0,qwen/qwen3.6-plus:free,0.2
What is the main neurotransmitter released by most excitatory cortical pyramidal neurons?,Glutamate,hard,"Answer: Glutamate
Confidence: 100%",Glutamate,100.0,qwen/qwen3.6-plus:free,0.2
What does BOLD stand for in fMRI?,Blood-oxygen-level-dependent,hard,"Answer: Blood Oxygenation Level Dependent
Confidence: 100%",Blood Oxygenation Level Dependent,100.0,qwen/qwen3.6-plus:free,0.2
Which optimization algorithm uses first and second moments of gradients and is widely used in deep learning?,Adam,hard,"Answer: Adam (Adaptive Moment Estimation)
Confidence: 100%",Adam (Adaptive Moment Estimation),100.0,qwen/qwen3.6-plus:free,0.2
What is the approximate wavelength range of visible light in nanometers?,About 380 to 700 nm,hard,"Answer: Approximately 380 to 750 nanometers
Confidence: 100%",Approximately 380 to 750 nanometers,100.0,qwen/qwen3.6-plus:free,0.2
Which theorem states that no compression algorithm can compress all possible inputs?,No Free Lunch theorem for lossless compression,hard,"Answer: Pigeonhole principle
Confidence: 95%",Pigeonhole principle,95.0,qwen/qwen3.6-plus:free,0.2
