question,ground_truth,difficulty,raw_response,model_answer,confidence,model,temperature
What is the capital of France?,Paris,easy,"Answer: Paris
Confidence: 100%",Paris,100.0,gemma4:31b-cloud,0.2
How many days are there in a week?,7,easy,"Answer: 7
Confidence: 100%",7,100.0,gemma4:31b-cloud,0.2
Which planet is known as the Red Planet?,Mars,easy,"Answer: Mars
Confidence: 100%",Mars,100.0,gemma4:31b-cloud,0.2
What gas do plants primarily absorb from the atmosphere for photosynthesis?,Carbon dioxide,easy,"Answer: Carbon dioxide
Confidence: 100%",Carbon dioxide,100.0,gemma4:31b-cloud,0.2
Who wrote 'Romeo and Juliet'?,William Shakespeare,easy,"Answer: William Shakespeare
Confidence: 100%",William Shakespeare,100.0,gemma4:31b-cloud,0.2
What is the largest ocean on Earth?,Pacific Ocean,easy,"Answer: Pacific Ocean
Confidence: 100%",Pacific Ocean,100.0,gemma4:31b-cloud,0.2
What is H2O commonly called?,Water,easy,"Answer: Water
Confidence: 100%",Water,100.0,gemma4:31b-cloud,0.2
Which continent is Egypt in?,Africa,easy,"Answer: Africa (though the Sinai Peninsula is in Asia, Egypt is primarily considered an African country)
Confidence: 100%","Africa (though the Sinai Peninsula is in Asia, Egypt is primarily considered an African country)",100.0,gemma4:31b-cloud,0.2
What is 9 x 9?,81,easy,"Answer: 81
Confidence: 100%",81,100.0,gemma4:31b-cloud,0.2
"What instrument has keys, pedals, and strings and is often found in concert halls?",Piano,easy,"Answer: Piano
Confidence: 100%",Piano,100.0,gemma4:31b-cloud,0.2
How many bones are in the adult human body?,206,medium,"Answer: 206
Confidence: 100%",206,100.0,gemma4:31b-cloud,0.2
In which year did the Berlin Wall fall?,1989,medium,"Answer: 1989
Confidence: 100%",1989,100.0,gemma4:31b-cloud,0.2
What is the chemical symbol for gold?,Au,medium,"Answer: Au
Confidence: 100%",Au,100.0,gemma4:31b-cloud,0.2
Who proposed the laws of motion and universal gravitation?,Isaac Newton,medium,"Answer: Isaac Newton
Confidence: 100%",Isaac Newton,100.0,gemma4:31b-cloud,0.2
What is the smallest prime number?,2,medium,"Answer: 2
Confidence: 100%",2,100.0,gemma4:31b-cloud,0.2
Which blood type is known as the universal donor for red blood cells?,O negative,medium,"Answer: O negative (O-)
Confidence: 100%",O negative (O-),100.0,gemma4:31b-cloud,0.2
What does HTTP stand for?,Hypertext Transfer Protocol,medium,"Answer: Hypertext Transfer Protocol
Confidence: 100%",Hypertext Transfer Protocol,100.0,gemma4:31b-cloud,0.2
Which scientist is associated with natural selection?,Charles Darwin,medium,"Answer: Charles Darwin
Confidence: 100%",Charles Darwin,100.0,gemma4:31b-cloud,0.2
What is the capital of Canada?,Ottawa,medium,"Answer: Ottawa
Confidence: 100%",Ottawa,100.0,gemma4:31b-cloud,0.2
