object,temperature,item_index,use_text,label
brick,0.0,1,**Nutcracker:** A heavy-duty tool for stubborn walnuts.,safe
brick,0.0,2,**DIY Bookend:** Wrap it in velvet or leather for a brutalist aesthetic.,safe
brick,0.0,3,**Incense Holder:** Drill a small hole in the top to hold a stick.,safe
brick,0.0,4,**Pasta Press:** Place it (wrapped in foil) atop ingredients to flatten them.,safe
brick,0.0,5,"**Aquarium Decor:** A weathered brick creates a ""sunken city"" vibe for fish.",safe
brick,0.0,6,"**Doorstop:** The classic, low-tech solution for windy hallways.",safe
brick,0.0,7,**Boot Scraper:** Use the rough texture to clean mud off soles.,safe
brick,0.0,8,**Paperweight:** For those extremely windy outdoor drafting sessions.,safe
brick,0.0,9,**Improvised Dumbbell:** A makeshift weight for light strength training.,safe
brick,0.0,10,**Garden Edge:** Use them as a rustic border for a flower bed.,safe
brick,0.0,11,"**Heat Sink:** Heat it in the oven, wrap it in a towel, and use it as a bed warmer.",safe
brick,0.0,12,**Paint Palette:** The porous surface can hold and mix acrylics.,safe
brick,0.0,13,**Knife Sharpener:** Use the unglazed side for emergency coarse honing.,surprising
brick,0.0,14,**Towel Holder:** Carve a notch to keep a hand towel from sliding.,surprising
brick,0.0,15,**Bird Bath Base:** Stack them to elevate a shallow dish.,safe
brick,0.0,16,"**Yoga Block:** A rigid, heavy alternative for stability (if smoothed).",surprising
brick,0.0,17,"**Fire Pit Base:** Create a stable, non-combustible foundation for a campfire.",safe
brick,0.0,18,**Rustic Step:** A temporary boost to reach a high shelf.,safe
brick,0.0,19,**Scent Diffuser:** Drop essential oils onto the porous surface.,surprising
brick,0.0,20,"**Modernist Sculpture:** Paint it gold and call it ""The Weight of Existence.""",surprising
brick,0.3,1,**Nutcracker:** Use a flat side to crack open walnuts or macadamias.,safe
brick,0.3,2,"**Bookend:** Wrap it in fabric or leather for a heavy, industrial page-holder.",safe
brick,0.3,3,**Incense Burner:** Drill a small hole into the clay to hold a stick.,safe
brick,0.3,4,"**DIY Heater:** Heat it in an oven, wrap it in a towel, and place it at the foot of a bed.",safe
brick,0.3,5,**Paint Palette:** Use the porous surface to mix and dab acrylics.,safe
brick,0.3,6,**Aquarium Decor:** Create a rustic cave for bottom-dwelling fish.,safe
brick,0.3,7,"**Doorstop:** A classic, but effective, way to keep a heavy door open.",safe
brick,0.3,8,**Paperweight:** Keep blueprints or large maps flat in a breeze.,safe
brick,0.3,9,**Boot Scraper:** Place it by the door to scrape mud off your soles.,safe
brick,0.3,10,**Weight for Pressing:** Use it to press tofu or flatten a panini.,safe
brick,0.3,11,**Garden Edge:** Create a zig-zag border for a flower bed.,safe
brick,0.3,12,**Yoga Block Substitute:** Use it for stability during deep stretches (wrap in a mat).,surprising
brick,0.3,13,**Rustic Candle Holder:** Set a pillar candle atop a brick for a loft aesthetic.,safe
brick,0.3,14,**Knife Sharpener:** Use the rough side to hone a blade in an emergency.,surprising
brick,0.3,15,**DIY Bench Base:** Stack them with wooden planks for outdoor seating.,safe
brick,0.3,16,**Exercise Weight:** Use it as a makeshift dumbbell for curls.,safe
brick,0.3,17,**Moss Garden:** Soak it in water and seed it with moss for a living sculpture.,surprising
brick,0.3,18,**Door Wedge:** Shave a side at an angle to jam a door shut.,safe
brick,0.3,19,**Curb Stop:** Place it behind a tire to prevent a car from rolling.,safe
brick,0.3,20,**Art Canvas:** Use the flat surface as a base for a miniature 3D sculpture.,surprising
brick,0.7,1,**Nutcracker:** Use its flat side to crack open walnuts or macadamias.,safe
brick,0.7,2,"**Bookend:** Wrap it in fabric or leather for a heavy, industrial page-holder.",safe
brick,0.7,3,**Incense Holder:** Drill a small hole into the center to hold a stick.,safe
brick,0.7,4,**DIY Weights:** Wrap them in towels for makeshift dumbbells.,safe
brick,0.7,5,"**Aquarium Decor:** Create a rugged, cavernous hideout for fish.",safe
brick,0.7,6,"**Rustic Doorstop:** Paint it with a quirky face or a ""Stop"" sign.",safe
brick,0.7,7,"**Heat Sink:** Heat it in an oven, wrap it in wool, and use it as a bed warmer.",safe
brick,0.7,8,**Paint Palette:** Use the porous surface to mix acrylics or oils.,safe
brick,0.7,9,**Garden Edge:** Bury them halfway to create a geometric border.,safe
brick,0.7,10,**Pasta Press:** Wrap in foil and weigh down sandwiches or panini.,safe
brick,0.7,11,**Knife Sharpener:** Use the coarse texture of a raw brick to hone a blade.,surprising
brick,0.7,12,**Boot Scraper:** Place one by the door to scrape mud off soles.,safe
brick,0.7,13,**Outdoor Candle Holder:** Carve out a shallow divot for a tea light.,safe
brick,0.7,14,**Paperweight:** Perfect for outdoor picnics to keep napkins from flying.,safe
brick,0.7,15,**Yoga Block:** Use a smooth-sided brick for stability during stretches.,surprising
brick,0.7,16,**Flower Frog:** Drill multiple holes to hold flower stems in place.,surprising
brick,0.7,17,**Towel Anchor:** Place on top of a thin towel to keep it flat while painting.,safe
brick,0.7,18,**Rustic Step:** Use as a temporary booster for reaching high shelves.,safe
brick,0.7,19,**Herb Press:** Use to flatten herbs for drying and preserving.,safe
brick,0.7,20,**Abstract Sculpture:** Stack and glue them in gravity-defying patterns.,surprising
brick,1.0,1,**Nutcracker:** A heavy-duty tool for stubborn walnuts.,safe
brick,1.0,2,**DIY Bookend:** Wrap it in fabric or leather for an industrial chic look.,safe
brick,1.0,3,**Aquarium Decor:** A weathered hideout for bottom-dwelling fish.,safe
brick,1.0,4,**Incense Holder:** Drill a small hole vertically into the clay.,safe
brick,1.0,5,**Doorstop:** A rustic way to keep a breeze flowing.,safe
brick,1.0,6,**Boot Scraper:** Place it by the door to knock mud off soles.,safe
brick,1.0,7,**Pasta Press:** Wrap in foil and use it to flatten dough or press panini.,safe
brick,1.0,8,**Paperweight:** For those particularly windy outdoor drafting sessions.,safe
brick,1.0,9,**Paint Palette:** Use the porous surface to mix thick acrylics.,safe
brick,1.0,10,**Tent Anchor:** A heavy alternative to stakes in sandy soil.,safe
brick,1.0,11,"**Yoga Balance Block:** For those who prefer a non-slip, rigid base.",surprising
brick,1.0,12,**Outdoor Candle Holder:** Carve a shallow divot for a tea light.,safe
brick,1.0,13,**Cold Pack:** Freeze it and wrap in a towel for localized cooling.,surprising
brick,1.0,14,**Step-Stool Extension:** A temporary lift to reach a high shelf.,safe
brick,1.0,15,**Garden Edging:** Create a zig-zag border for a flower bed.,safe
brick,1.0,16,**Jewelry Display:** A minimalist pedestal for a single ring or watch.,surprising
brick,1.0,17,**Towel Weight:** Keep beach towels from flying away in the wind.,safe
brick,1.0,18,**Hand-Sanding Block:** Wrap sandpaper around it for perfectly flat surfaces.,safe
brick,1.0,19,**Homemade Heat Sink:** Heat it in the oven and wrap it for a foot warmer.,safe
brick,1.0,20,"**Impromptu Dumbbell:** For a quick, high-resistance arm workout.",safe
brick,1.5,1,Nuptial weight for a celebratory cake (to prevent sliding).,surprising
brick,1.5,2,Primitive drafting tool for drawing straight lines.,safe
brick,1.5,3,Improvised HIIT gym weight for single-arm curls.,safe
brick,1.5,4,"Bedside ""emergency"" alarm clock (by setting it atop a fragile glass).",surprising
brick,1.5,5,Heavy-duty pasta press for homemade noodles.,safe
brick,1.5,6,Rustic bookends for a minimalist library.,safe
brick,1.5,7,Foraging anchor for a floating collection bag.,surprising
brick,1.5,8,Permanent scent diffuser (soaked in essential oils).,surprising
brick,1.5,9,Naturalnutcracker for oversized shells.,safe
brick,1.5,10,Heavy-duty incense holder with a carved notch.,safe
brick,1.5,11,"Garden ""scare-critter"" (painted to look like a predator).",surprising
brick,1.5,12,Doorstop for drafty medieval-style portals.,safe
brick,1.5,13,Heat sink for warming up lukewarm tea.,surprising
brick,1.5,14,Texture stamp for creating rustic patterns in wet concrete.,safe
brick,1.5,15,Temporary weighted base for an outdoor umbrella.,safe
brick,1.5,16,improvised anvil for light jewelry hammering.,surprising
brick,1.5,17,"Base for a small, stable outdoor candle platform.",safe
brick,1.5,18,"Slow-cooker ""weight"" for pressing tofu or feta.",safe
brick,1.5,19,Crude nautical anchor for a toy boat.,surprising
brick,1.5,20,Performance art pedestal for a single grape.,surprising
paperclip,0.0,1,**Emergency SIM card ejector** for smartphones.,safe
paperclip,0.0,2,**Reset button pusher** for routers and electronics.,safe
paperclip,0.0,3,**Miniature screwdriver** for tiny glasses screws.,safe
paperclip,0.0,4,**Hemming clip** to hold fabric in place before sewing.,safe
paperclip,0.0,5,**DIY lockpick** for simple luggage or diary locks.,surprising
paperclip,0.0,6,**Cleaning tool** for gunk in small crevices or keyboard gaps.,safe
paperclip,0.0,7,**Temporary earring** (with sanitized ends).,surprising
paperclip,0.0,8,**Tape end marker** to stop losing the edge of the roll.,safe
paperclip,0.0,9,**Pit remover** for cherries or olives.,safe
paperclip,0.0,10,**Hairpin substitute** for a quick emergency bun.,safe
paperclip,0.0,11,**Miniature sculpture wire** for art projects.,safe
paperclip,0.0,12,**Zipper pull replacement** when the tab breaks off.,safe
