question,answer,difficulty
What is the capital of France?,Paris,easy
How many days are there in a week?,7,easy
Which planet is known as the Red Planet?,Mars,easy
What gas do plants primarily absorb from the atmosphere for photosynthesis?,Carbon dioxide,easy
Who wrote 'Romeo and Juliet'?,William Shakespeare,easy
What is the largest ocean on Earth?,Pacific Ocean,easy
What is H2O commonly called?,Water,easy
Which continent is Egypt in?,Africa,easy
What is 9 x 9?,81,easy
"What instrument has keys, pedals, and strings and is often found in concert halls?",Piano,easy
How many bones are in the adult human body?,206,medium
In which year did the Berlin Wall fall?,1989,medium
What is the chemical symbol for gold?,Au,medium
Who proposed the laws of motion and universal gravitation?,Isaac Newton,medium
What is the smallest prime number?,2,medium
Which blood type is known as the universal donor for red blood cells?,O negative,medium
What does HTTP stand for?,Hypertext Transfer Protocol,medium
Which scientist is associated with natural selection?,Charles Darwin,medium
What is the capital of Canada?,Ottawa,medium
How many players are on a soccer team on the field at one time?,11,medium
Which lobe of the brain is most associated with vision?,Occipital lobe,medium
"In machine learning, what does overfitting mean?",Learning training data too specifically and generalizing poorly,medium
What is the SI unit of electric current?,Ampere,medium
What does GPU stand for?,Graphics Processing Unit,medium
Which country hosted the 2016 Summer Olympics?,Brazil,medium
In what year was the Rescorla-Wagner model published?,1972,hard
Who introduced the concept of prediction error minimization in the Free Energy Principle framework?,Karl Friston,hard
What is the main neurotransmitter released by most excitatory cortical pyramidal neurons?,Glutamate,hard
What does BOLD stand for in fMRI?,Blood-oxygen-level-dependent,hard
Which optimization algorithm uses first and second moments of gradients and is widely used in deep learning?,Adam,hard
What is the approximate wavelength range of visible light in nanometers?,About 380 to 700 nm,hard
Which theorem states that no compression algorithm can compress all possible inputs?,No Free Lunch theorem for lossless compression,hard
What is the default network in neuroscience primarily associated with?,Internally directed cognition and self-referential thought,hard
What does KL in KL divergence stand for?,Kullback-Leibler,hard
Which architecture introduced self-attention as a central mechanism in sequence modeling?,Transformer,hard
What is the asymptotic time complexity of Dijkstra's algorithm using a binary heap?,O((V+E) log V),hard
"In Bayesian terms, what is the quantity proportional to likelihood times prior?",Posterior,hard
What is the pKa of carbonic acid's first dissociation in water at room temperature (approx.)?,About 6.35,hard
Which paper introduced the term 'attention is all you need'?,"Attention Is All You Need (Vaswani et al., 2017)",hard
"Which metric-learning loss uses triplets of anchor, positive, and negative examples?",Triplet loss,hard
What is the exact weight of the color blue?,unanswerable,unanswerable
What did Julius Caesar eat for breakfast on his 33rd birthday?,unanswerable,unanswerable
"What is the best song ever written, objectively?",unanswerable,unanswerable
How many thoughts did you have yesterday at 3:17 PM?,unanswerable,unanswerable
What is the smell of number seven in SI units?,unanswerable,unanswerable
"Which came first in all possible universes, the chicken or the egg?",unanswerable,unanswerable
What will be the exact global temperature at noon 100 years from today?,unanswerable,unanswerable
What is the one true meaning of life for every human?,unanswerable,unanswerable
Which single economic policy guarantees prosperity forever?,unanswerable,unanswerable
Who was objectively the greatest thinker in all of history by universal metric?,unanswerable,unanswerable
