object,temperature,item_index,use_text
brick,0.0,1,**Nutcracker:** A heavy-duty tool for stubborn walnuts.
brick,0.0,2,**DIY Bookend:** Wrap it in velvet or leather for a brutalist aesthetic.
brick,0.0,3,**Incense Holder:** Drill a small hole in the top to hold a stick.
brick,0.0,4,**Pasta Press:** Place it (wrapped in foil) atop ingredients to flatten them.
brick,0.0,5,"**Aquarium Decor:** A weathered brick creates a ""sunken city"" vibe for fish."
brick,0.0,6,"**Doorstop:** The classic, low-tech solution for windy hallways."
brick,0.0,7,**Boot Scraper:** Use the rough texture to clean mud off soles.
brick,0.0,8,**Paperweight:** For those extremely windy outdoor drafting sessions.
brick,0.0,9,**Improvised Dumbbell:** A makeshift weight for light strength training.
brick,0.0,10,**Garden Edge:** Use them as a rustic border for a flower bed.
brick,0.0,11,"**Heat Sink:** Heat it in the oven, wrap it in a towel, and use it as a bed warmer."
brick,0.0,12,**Paint Palette:** The porous surface can hold and mix acrylics.
brick,0.0,13,**Knife Sharpener:** Use the unglazed side for emergency coarse honing.
brick,0.0,14,**Towel Holder:** Carve a notch to keep a hand towel from sliding.
brick,0.0,15,**Bird Bath Base:** Stack them to elevate a shallow dish.
brick,0.0,16,"**Yoga Block:** A rigid, heavy alternative for stability (if smoothed)."
brick,0.0,17,"**Fire Pit Base:** Create a stable, non-combustible foundation for a campfire."
brick,0.0,18,**Rustic Step:** A temporary boost to reach a high shelf.
brick,0.0,19,**Scent Diffuser:** Drop essential oils onto the porous surface.
brick,0.0,20,"**Modernist Sculpture:** Paint it gold and call it ""The Weight of Existence."""
brick,0.3,1,**Nutcracker:** Use a flat side to crack open walnuts or macadamias.
brick,0.3,2,"**Bookend:** Wrap it in fabric or leather for a heavy, industrial page-holder."
brick,0.3,3,**Incense Burner:** Drill a small hole into the clay to hold a stick.
brick,0.3,4,"**DIY Heater:** Heat it in an oven, wrap it in a towel, and place it at the foot of a bed."
brick,0.3,5,**Paint Palette:** Use the porous surface to mix and dab acrylics.
brick,0.3,6,**Aquarium Decor:** Create a rustic cave for bottom-dwelling fish.
brick,0.3,7,"**Doorstop:** A classic, but effective, way to keep a heavy door open."
brick,0.3,8,**Paperweight:** Keep blueprints or large maps flat in a breeze.
brick,0.3,9,**Boot Scraper:** Place it by the door to scrape mud off your soles.
brick,0.3,10,**Weight for Pressing:** Use it to press tofu or flatten a panini.
brick,0.3,11,**Garden Edge:** Create a zig-zag border for a flower bed.
brick,0.3,12,**Yoga Block Substitute:** Use it for stability during deep stretches (wrap in a mat).
brick,0.3,13,**Rustic Candle Holder:** Set a pillar candle atop a brick for a loft aesthetic.
brick,0.3,14,**Knife Sharpener:** Use the rough side to hone a blade in an emergency.
brick,0.3,15,**DIY Bench Base:** Stack them with wooden planks for outdoor seating.
brick,0.3,16,**Exercise Weight:** Use it as a makeshift dumbbell for curls.
brick,0.3,17,**Moss Garden:** Soak it in water and seed it with moss for a living sculpture.
brick,0.3,18,**Door Wedge:** Shave a side at an angle to jam a door shut.
brick,0.3,19,**Curb Stop:** Place it behind a tire to prevent a car from rolling.
brick,0.3,20,**Art Canvas:** Use the flat surface as a base for a miniature 3D sculpture.
brick,0.7,1,**Nutcracker:** Use its flat side to crack open walnuts or macadamias.
brick,0.7,2,"**Bookend:** Wrap it in fabric or leather for a heavy, industrial page-holder."
brick,0.7,3,**Incense Holder:** Drill a small hole into the center to hold a stick.
