question,difficulty,my_answer,my_confidence
What is 9 x 9?,easy,81,100
How many days are there in a week?,easy,7,100
What is the largest ocean on Earth?,easy,Pacific Ocean,80
What is the capital of France?,easy,Paris,90
Which continent is Egypt in?,easy,Africa,50
In what year was the Rescorla-Wagner model published?,hard,2025,0
Which paper introduced the term 'attention is all you need'?,hard,Attention Is All You Need,90
What does KL in KL divergence stand for?,hard,Kuala Lumpur,0
Who introduced the concept of prediction error minimization in the Free Energy Principle framework?,hard,Einstein,0
Which architecture introduced self-attention as a central mechanism in sequence modeling?,hard,Transformer,90
Which scientist is associated with natural selection?,medium,Darwin,90
What is the SI unit of electric current?,medium,Ampere,100
Which lobe of the brain is most associated with vision?,medium,Frontol lobe,10
Who proposed the laws of motion and universal gravitation?,medium,Newton,100
Which country hosted the 2016 Summer Olympics?,medium,Brazil,50
What did Julius Caesar eat for breakfast on his 33rd birthday?,unanswerable,Apple,0
Which single economic policy guarantees prosperity forever?,unanswerable,None,0
What is the one true meaning of life for every human?,unanswerable,happiness,0
"Which came first in all possible universes, the chicken or the egg?",unanswerable,idk,30
What is the smell of number seven in SI units?,unanswerable,none,0
